candidate_id,rank,score,reasoning,experience_score,skills_score,jd_alignment_score,semantic_alignment_score,behavioral_score,location_score,anomaly_penalty
cand_076962,52,0.2327,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1070,0.0000,0.0000,0.0000,0.0000
cand_089459,53,0.2327,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1070,0.0000,0.0000,0.0000,0.0000
cand_071311,54,0.2324,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1050,0.0000,0.0000,0.0000,0.0000
cand_062563,55,0.2321,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1030,0.0000,0.0000,0.0000,0.0000
cand_089954,56,0.2320,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2833,0.1090,0.0000,0.0000,0.0000,0.0000
cand_028066,57,0.2319,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2833,0.0740,0.0000,0.0000,0.0000,0.0000
cand_039279,58,0.2319,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2833,0.0740,0.0000,0.0000,0.0000,0.0000
cand_019364,59,0.2317,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1000,0.0000,0.0000,0.0000,0.0000
cand_053157,60,0.2314,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0980,0.0000,0.0000,0.0000,0.0000
cand_009625,61,0.2313,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.1250,0.0000,0.0000,0.0000,0.0000
cand_081353,62,0.2311,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2667,0.1310,0.0000,0.0000,0.0000,0.0000
cand_035945,63,0.2311,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0960,0.0000,0.0000,0.0000,0.0000
cand_072330,64,0.2311,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0960,0.0000,0.0000,0.0000,0.0000
cand_006497,65,0.2309,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0950,0.0000,0.0000,0.0000,0.0000
cand_065440,66,0.2309,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0950,0.0000,0.0000,0.0000,0.0000
cand_025874,67,0.2302,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2833,0.0970,0.0000,0.0000,0.0000,0.0000
cand_005073,68,0.2301,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2833,0.0620,0.0000,0.0000,0.0000,0.0000
cand_099381,69,0.2301,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.1170,0.0000,0.0000,0.0000,0.0000
cand_029967,70,0.2299,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0880,0.0000,0.0000,0.0000,0.0000
cand_058621,71,0.2290,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2667,0.1170,0.0000,0.0000,0.0000,0.0000
cand_046357,72,0.2290,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.1100,0.0000,0.0000,0.0000,0.0000
cand_040961,73,0.2288,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0810,0.0000,0.0000,0.0000,0.0000
cand_080275,74,0.2283,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1330,0.0000,0.0000,0.0000,0.0000
cand_080493,75,0.2283,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1330,0.0000,0.0000,0.0000,0.0000
cand_042929,76,0.2278,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2667,0.1090,0.0000,0.0000,0.0000,0.0000
cand_001503,77,0.2278,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0740,0.0000,0.0000,0.0000,0.0000
cand_033619,78,0.2278,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.0740,0.0000,0.0000,0.0000,0.0000
cand_025285,79,0.2277,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1290,0.0000,0.0000,0.0000,0.0000
cand_017595,80,0.2275,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2667,0.1070,0.0000,0.0000,0.0000,0.0000
cand_043746,81,0.2272,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2667,0.1050,0.0000,0.0000,0.0000,0.0000
cand_068025,82,0.2272,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0980,0.0000,0.0000,0.0000,0.0000
cand_090299,83,0.2272,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0980,0.0000,0.0000,0.0000,0.0000
cand_037300,84,0.2271,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1250,0.0000,0.0000,0.0000,0.0000
cand_041426,85,0.2269,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0960,0.0000,0.0000,0.0000,0.0000
cand_084542,86,0.2269,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0960,0.0000,0.0000,0.0000,0.0000
cand_082465,87,0.2265,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2667,0.1000,0.0000,0.0000,0.0000,0.0000
cand_000986,88,0.2265,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1210,0.0000,0.0000,0.0000,0.0000
cand_015344,89,0.2265,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1210,0.0000,0.0000,0.0000,0.0000
cand_047262,90,0.2265,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1210,0.0000,0.0000,0.0000,0.0000
cand_053370,91,0.2265,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1210,0.0000,0.0000,0.0000,0.0000
cand_066832,92,0.2265,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1210,0.0000,0.0000,0.0000,0.0000
cand_092101,93,0.2263,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1200,0.0000,0.0000,0.0000,0.0000
cand_070400,94,0.2263,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0920,0.0000,0.0000,0.0000,0.0000
cand_010997,95,0.2262,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.2667,0.0980,0.0000,0.0000,0.0000,0.0000
cand_002365,96,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_021080,97,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_022200,98,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_033670,99,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_043654,100,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_056155,101,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_069377,102,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_083033,103,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_087683,104,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_088282,105,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_088880,106,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_092471,107,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_096647,108,0.2262,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1190,0.0000,0.0000,0.0000,0.0000
cand_019801,109,0.2259,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1170,0.0000,0.0000,0.0000,0.0000
cand_021440,110,0.2259,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1170,0.0000,0.0000,0.0000,0.0000
cand_044991,111,0.2259,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1170,0.0000,0.0000,0.0000,0.0000
cand_085184,112,0.2259,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1170,0.0000,0.0000,0.0000,0.0000
cand_097578,113,0.2259,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1170,0.0000,0.0000,0.0000,0.0000
cand_083824,114,0.2257,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0880,0.0000,0.0000,0.0000,0.0000
cand_020175,115,0.2256,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1150,0.0000,0.0000,0.0000,0.0000
cand_027468,116,0.2256,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1150,0.0000,0.0000,0.0000,0.0000
cand_048837,117,0.2255,Demonstrates moderate experience (0.50). Calibrated score: 0.23.,0.5000,0.2833,0.1980,0.0000,0.0000,0.0000,0.0000
cand_087922,118,0.2254,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0860,0.0000,0.0000,0.0000,0.0000
cand_029049,119,0.2251,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1120,0.0000,0.0000,0.0000,0.0000
cand_050662,120,0.2251,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1120,0.0000,0.0000,0.0000,0.0000
cand_053955,121,0.2251,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1120,0.0000,0.0000,0.0000,0.0000
cand_061995,122,0.2251,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1120,0.0000,0.0000,0.0000,0.0000
cand_093985,123,0.2251,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2333,0.1120,0.0000,0.0000,0.0000,0.0000
cand_016142,124,0.2251,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2500,0.0840,0.0000,0.0000,0.0000,0.0000
cand_046766,125,0.2250,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1110,0.0000,0.0000,0.0000,0.0000
cand_087698,126,0.2250,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1110,0.0000,0.0000,0.0000,0.0000
cand_097856,127,0.2250,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1110,0.0000,0.0000,0.0000,0.0000
cand_023862,128,0.2248,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1100,0.0000,0.0000,0.0000,0.0000
cand_024612,129,0.2248,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1100,0.0000,0.0000,0.0000,0.0000
cand_034405,130,0.2247,Demonstrates moderate experience (0.58). Calibrated score: 0.22.,0.5793,0.2667,0.0880,0.0000,0.0000,0.0000,0.0000
cand_023528,131,0.2247,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1090,0.0000,0.0000,0.0000,0.0000
cand_068134,132,0.2247,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1090,0.0000,0.0000,0.0000,0.0000
cand_077138,133,0.2247,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1090,0.0000,0.0000,0.0000,0.0000
cand_078717,134,0.2247,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1090,0.0000,0.0000,0.0000,0.0000
cand_094002,135,0.2247,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1090,0.0000,0.0000,0.0000,0.0000
cand_008109,136,0.2245,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1080,0.0000,0.0000,0.0000,0.0000
cand_016468,137,0.2245,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1080,0.0000,0.0000,0.0000,0.0000
cand_038220,138,0.2245,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1080,0.0000,0.0000,0.0000,0.0000
cand_045078,139,0.2245,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1080,0.0000,0.0000,0.0000,0.0000
cand_095913,140,0.2245,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1080,0.0000,0.0000,0.0000,0.0000
cand_022384,141,0.2244,Demonstrates moderate experience (0.58). Calibrated score: 0.22.,0.5793,0.2667,0.0860,0.0000,0.0000,0.0000,0.0000
cand_004368,142,0.2244,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1070,0.0000,0.0000,0.0000,0.0000
cand_020040,143,0.2244,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1070,0.0000,0.0000,0.0000,0.0000
cand_063716,144,0.2244,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1070,0.0000,0.0000,0.0000,0.0000
cand_064506,145,0.2244,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1070,0.0000,0.0000,0.0000,0.0000
cand_083838,146,0.2244,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1070,0.0000,0.0000,0.0000,0.0000
cand_089588,147,0.2244,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1070,0.0000,0.0000,0.0000,0.0000
cand_007086,148,0.2243,Demonstrates moderate experience (0.50). Calibrated score: 0.22.,0.5000,0.3167,0.1340,0.0000,0.0000,0.0000,0.0000
cand_015503,149,0.2243,Demonstrates moderate experience (0.50). Calibrated score: 0.22.,0.5000,0.3167,0.1340,0.0000,0.0000,0.0000,0.0000
cand_006695,150,0.2241,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1050,0.0000,0.0000,0.0000,0.0000
cand_033343,151,0.2241,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1050,0.0000,0.0000,0.0000,0.0000
cand_051914,152,0.2241,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1050,0.0000,0.0000,0.0000,0.0000
cand_083494,153,0.2241,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1050,0.0000,0.0000,0.0000,0.0000
cand_084496,154,0.2241,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1050,0.0000,0.0000,0.0000,0.0000
cand_091899,155,0.2241,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1050,0.0000,0.0000,0.0000,0.0000
cand_093907,156,0.2241,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1050,0.0000,0.0000,0.0000,0.0000
cand_037793,157,0.2239,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1040,0.0000,0.0000,0.0000,0.0000
cand_008611,158,0.2239,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2500,0.0760,0.0000,0.0000,0.0000,0.0000
cand_074769,159,0.2239,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2500,0.0760,0.0000,0.0000,0.0000,0.0000
cand_053180,160,0.2238,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1030,0.0000,0.0000,0.0000,0.0000
cand_054960,161,0.2238,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1030,0.0000,0.0000,0.0000,0.0000
cand_074111,162,0.2237,Demonstrates moderate experience (0.58). Calibrated score: 0.22.,0.5793,0.2500,0.1090,0.0000,0.0000,0.0000,0.0000
cand_072733,163,0.2235,Demonstrates moderate experience (0.58). Calibrated score: 0.22.,0.5793,0.2500,0.1080,0.0000,0.0000,0.0000,0.0000
cand_025115,164,0.2234,Demonstrates moderate experience (0.50). Calibrated score: 0.22.,0.5000,0.3000,0.1560,0.0000,0.0000,0.0000,0.0000
cand_011231,165,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_015958,166,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_033714,167,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_043867,168,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_045148,169,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_058763,170,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_063073,171,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_067218,172,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_072263,173,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_078322,174,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_087018,175,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_098217,176,0.2233,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.1000,0.0000,0.0000,0.0000,0.0000
cand_029935,177,0.2232,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.0990,0.0000,0.0000,0.0000,0.0000
cand_071726,178,0.2232,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.0990,0.0000,0.0000,0.0000,0.0000
cand_023076,179,0.2230,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.0980,0.0000,0.0000,0.0000,0.0000
cand_067473,180,0.2230,Demonstrates moderate experience (0.60). Calibrated score: 0.22.,0.6000,0.2333,0.0980,0.0000,0.0000,0.0000,0.0000
